Code,Property,Area,Side,Column1,Column2,Column3,Column4
BB,240 4k7,COLOR,A,potentiometer,,,
BG,47k 240,COLOR,A,potentiometer,,,
CD1,,CONNECTOR,B,,,,
CD2,,CONNECTOR,B,,,,
CD3,10uF 16v,,A,capacitor,,,
CF1,224 250v,,A,poly capacitor,,,
CF2,4.7uF 50v,,A,electrolytic capacitor,,,
CF3,1A4,COLOR,B,maybe 1 is I,,,
CF4,100nF 63v,,A,poly capacitor,,,
CF5,.1uF 100v,,A,poly capacitor,,,
CF6,.1uF 100v,,A,poly capacitor,,,
CF7,100uF 25v,,A,electrolytic capacitor,,,
CF8,3300uF 16v,,A,electrolytic capacitor,,,
CF9,220uF 25v,,A,electrolytic capacitor,,,
CF10,220uF 35v,,A,electrolytic capacitor,,,
CF11,470uF 35v,,A,electrolytic capacitor,,,
CF12,,COLOR,B,,,,
CF14,,COLOR,B,,,,
CL2,,COLOR,B,,,,
CL3,IJ5,,,? Zener?,,,
CL4,100uF 25v,,A,electrolytic capacitor,,,
CL5,3A,VIDEO-H,B,"line above, A is maybe a lambda",,,
CL6,,VIDEO-H,B,,,,
CL8,.0082uF 600v,,A,poly capacitor,,,
CL9,3.3uF 160v,,A,poly capacitor,,,
CL10,3.3uF 160v,,A,poly capacitor,,,
CL11,1uF 50v,,A,electrolytic capacitor,,,
CL12,IJ3,VIDEO_L,B,,,,
CL13,2.2uF 200v,,A,electrolytic capacitor,,,
CL14,47uF 100v,,A,electrolytic capacitor,,,
CL15,,COLOR,B,,,,
CL16,,COLOR,B,,,,
CL17,,COLOR,B,,,,
CL18,IJ5,VIDEO_L,B,electrolytic capacitor ,,,
CL19,10uF 250v,,A,electrolytic capacitor,,,
CL20,103z 2kv,,A,capacitor,,,
CL21,100uF 100v,,A,electrolytic capacitor,,,
CL22,AJ4,VIDEO-H,B,2SK67 FET Transistor (N-Channel),,,
CL23,100uF 6.3v,,A,electrolytic capacitor,,,
CL24,1uF 50v,,A,electrolytic capacitor,,,
CL25,E2,COLOR,B,a line above,,,
CL27,AA5,VIDEO_L,B,"SMD capacitor 0,1uF",,,
CL28,IJ5,VIDEO-H,B,? Zener?,,,
CL29,I?4,VIDEO-H,B,? Zener?,,,
CL30,E2,COLOR,B,a line above,,,
CL31,1uF 50v,,A,electrolytic capacitor,,,
CL33,2.2uF 100v,,A,electrolytic capacitor,,,
CL34,2.2uF 100v,,A,electrolytic capacitor,,,
CL35,.47uF 100v,,A,electrolytic capacitor,,,
CL36,100nF 63v,,A,poly capacitor,,,
CL37,open,COLOR,B,,,,
CP1,IJ5,PSU-H,B,220nF,,,
CP2,103Z 2KV,PSU-H,A,0.01uF 2000V,,,
CP3,1A3,PSU-H,B,0.001uF ??,,,
CP4,KC222M,PSU-H,A,capacitor 0.0022 uF,,,
CP5,KC222M,PSU-H,A,0.0022 uF capacitor,,,
CP6,3nH 63,PSU-H,A,capacitor,,,
CP7,"0,22uF 250V",PSU-H,A,"capacitor - should be a 100µF 25V, not a .22µF 250V",,,
CP8,"0,22uF 250V ??",PSU-H,A,capacitor,,,
CP9,100uF 25v,PSU-L,A,electrolytic capacitor,,,
CP10,1uF 50V,PSU-H,A,electrolytic capacitor,,,
CP11,4700PF 4n7 250V,PSU-H,A,cercamic capacitor,,,
CP12,100uF 100v,,A,electrolytic capacitor,,,
CP13,1000uF 35v,,A,electrolytic capacitor,,,
CP14,1000uf 16v,PSU-L,A,electrolytic capacitor,,,
CP15,100uf 25v,PSU-L,B,electrolytic capacitor,,,
CP16,10nF 290V,PSU-H,A,10nF 290V PME290 EMI suppressor,,,
CP18,471K 2KV,PSU-H,A,"470pF, 471K, 2KV high voltage ceramic capacitor ",,,
CP20,,PSU-H,B,SMD capacitor,,,
CP30,330uF 400V,,A,electrolytic capacitor,,,
